stnId,stnNm,yyyymm,days_in_month,yn_month,avg_yn_month
108,서울시,2024-01,31,10,0.3225806451612903
108,서울시,2024-02,29,18,0.6206896551724138
108,서울시,2024-03,31,19,0.6129032258064516
108,서울시,2024-04,30,26,0.8666666666666667
108,서울시,2024-05,31,23,0.7419354838709677
108,서울시,2024-06,30,23,0.7666666666666667
108,서울시,2024-07,31,9,0.2903225806451613
108,서울시,2024-08,31,20,0.6451612903225806
108,서울시,2024-09,30,19,0.6333333333333333
108,서울시,2024-10,31,25,0.8064516129032258
108,서울시,2024-11,30,24,0.8
108,서울시,2024-12,31,16,0.5161290322580645
112,인천시,2024-01,31,11,0.3548387096774194
112,인천시,2024-02,29,17,0.5862068965517241
112,인천시,2024-03,31,24,0.7741935483870968
112,인천시,2024-04,30,25,0.8333333333333334
112,인천시,2024-05,31,25,0.8064516129032258
112,인천시,2024-06,30,22,0.7333333333333333
112,인천시,2024-07,31,10,0.3225806451612903
112,인천시,2024-08,31,21,0.6774193548387096
112,인천시,2024-09,30,20,0.6666666666666666
112,인천시,2024-10,31,22,0.7096774193548387
112,인천시,2024-11,30,22,0.7333333333333333
112,인천시,2024-12,31,16,0.5161290322580645
119,수원시,2024-01,31,10,0.3225806451612903
119,수원시,2024-02,29,18,0.6206896551724138
119,수원시,2024-03,31,21,0.6774193548387096
119,수원시,2024-04,30,24,0.8
119,수원시,2024-05,31,24,0.7741935483870968
119,수원시,2024-06,30,24,0.8
119,수원시,2024-07,31,11,0.3548387096774194
119,수원시,2024-08,31,20,0.6451612903225806
119,수원시,2024-09,30,20,0.6666666666666666
119,수원시,2024-10,31,22,0.7096774193548387
119,수원시,2024-11,30,21,0.7
119,수원시,2024-12,31,14,0.45161290322580644
121,영월시,2024-01,31,12,0.3870967741935484
121,영월시,2024-02,29,15,0.5172413793103449
121,영월시,2024-03,31,18,0.5806451612903226
121,영월시,2024-04,30,25,0.8333333333333334
121,영월시,2024-05,31,21,0.6774193548387096
121,영월시,2024-06,30,22,0.7333333333333333
121,영월시,2024-07,31,11,0.3548387096774194
121,영월시,2024-08,31,21,0.6774193548387096
121,영월시,2024-09,30,22,0.7333333333333333
121,영월시,2024-10,31,20,0.6451612903225806
121,영월시,2024-11,30,22,0.7333333333333333
121,영월시,2024-12,31,11,0.3548387096774194
131,청주시,2024-01,31,13,0.41935483870967744
131,청주시,2024-02,29,16,0.5517241379310345
131,청주시,2024-03,31,23,0.7419354838709677
131,청주시,2024-04,30,24,0.8
131,청주시,2024-05,31,21,0.6774193548387096
131,청주시,2024-06,30,24,0.8
131,청주시,2024-07,31,12,0.3870967741935484
131,청주시,2024-08,31,23,0.7419354838709677
131,청주시,2024-09,30,22,0.7333333333333333
131,청주시,2024-10,31,19,0.6129032258064516
131,청주시,2024-11,30,22,0.7333333333333333
131,청주시,2024-12,31,17,0.5483870967741935
133,대전시,2024-01,31,11,0.3548387096774194
133,대전시,2024-02,29,16,0.5517241379310345
133,대전시,2024-03,31,20,0.6451612903225806
133,대전시,2024-04,30,23,0.7666666666666667
133,대전시,2024-05,31,22,0.7096774193548387
133,대전시,2024-06,30,24,0.8
133,대전시,2024-07,31,9,0.2903225806451613
133,대전시,2024-08,31,19,0.6129032258064516
133,대전시,2024-09,30,24,0.8
133,대전시,2024-10,31,19,0.6129032258064516
133,대전시,2024-11,30,20,0.6666666666666666
133,대전시,2024-12,31,21,0.6774193548387096
140,군산시,2024-01,31,15,0.4838709677419355
140,군산시,2024-02,29,15,0.5172413793103449
140,군산시,2024-03,31,23,0.7419354838709677
140,군산시,2024-04,30,23,0.7666666666666667
140,군산시,2024-05,31,21,0.6774193548387096
140,군산시,2024-06,30,24,0.8
140,군산시,2024-07,31,12,0.3870967741935484
140,군산시,2024-08,31,23,0.7419354838709677
140,군산시,2024-09,30,24,0.8
140,군산시,2024-10,31,19,0.6129032258064516
140,군산시,2024-11,30,22,0.7333333333333333
140,군산시,2024-12,31,13,0.41935483870967744
143,대구시,2024-01,31,19,0.6129032258064516
143,대구시,2024-02,29,16,0.5517241379310345
143,대구시,2024-03,31,22,0.7096774193548387
143,대구시,2024-04,30,21,0.7
143,대구시,2024-05,31,21,0.6774193548387096
143,대구시,2024-06,30,22,0.7333333333333333
143,대구시,2024-07,31,14,0.45161290322580644
143,대구시,2024-08,31,23,0.7419354838709677
143,대구시,2024-09,30,22,0.7333333333333333
143,대구시,2024-10,31,19,0.6129032258064516
143,대구시,2024-11,30,26,0.8666666666666667
143,대구시,2024-12,31,28,0.9032258064516129
146,전주시,2024-01,31,13,0.41935483870967744
146,전주시,2024-02,29,14,0.4827586206896552
146,전주시,2024-03,31,22,0.7096774193548387
146,전주시,2024-04,30,19,0.6333333333333333
146,전주시,2024-05,31,20,0.6451612903225806
146,전주시,2024-06,30,24,0.8
146,전주시,2024-07,31,14,0.45161290322580644
146,전주시,2024-08,31,20,0.6451612903225806
146,전주시,2024-09,30,20,0.6666666666666666
146,전주시,2024-10,31,18,0.5806451612903226
146,전주시,2024-11,30,19,0.6333333333333333
146,전주시,2024-12,31,16,0.5161290322580645
152,울산시,2024-01,31,17,0.5483870967741935
152,울산시,2024-02,29,16,0.5517241379310345
152,울산시,2024-03,31,18,0.5806451612903226
152,울산시,2024-04,30,21,0.7
152,울산시,2024-05,31,22,0.7096774193548387
152,울산시,2024-06,30,23,0.7666666666666667
152,울산시,2024-07,31,22,0.7096774193548387
152,울산시,2024-08,31,22,0.7096774193548387
152,울산시,2024-09,30,19,0.6333333333333333
152,울산시,2024-10,31,17,0.5483870967741935
152,울산시,2024-11,30,25,0.8333333333333334
152,울산시,2024-12,31,30,0.967741935483871
155,창원시,2024-01,31,20,0.6451612903225806
155,창원시,2024-02,29,16,0.5517241379310345
155,창원시,2024-03,31,21,0.6774193548387096
155,창원시,2024-04,30,22,0.7333333333333333
155,창원시,2024-05,31,21,0.6774193548387096
155,창원시,2024-06,30,23,0.7666666666666667
155,창원시,2024-07,31,15,0.4838709677419355
155,창원시,2024-08,31,24,0.7741935483870968
155,창원시,2024-09,30,24,0.8
155,창원시,2024-10,31,18,0.5806451612903226
155,창원시,2024-11,30,25,0.8333333333333334
155,창원시,2024-12,31,31,1.0
156,광주시,2024-01,31,16,0.5161290322580645
156,광주시,2024-02,29,15,0.5172413793103449
156,광주시,2024-03,31,22,0.7096774193548387
156,광주시,2024-04,30,20,0.6666666666666666
156,광주시,2024-05,31,21,0.6774193548387096
156,광주시,2024-06,30,25,0.8333333333333334
156,광주시,2024-07,31,12,0.3870967741935484
156,광주시,2024-08,31,19,0.6129032258064516
156,광주시,2024-09,30,21,0.7
156,광주시,2024-10,31,18,0.5806451612903226
156,광주시,2024-11,30,20,0.6666666666666666
156,광주시,2024-12,31,21,0.6774193548387096
172,고창시,2024-01,31,11,0.3548387096774194
172,고창시,2024-02,29,12,0.41379310344827586
172,고창시,2024-03,31,23,0.7419354838709677
172,고창시,2024-04,30,20,0.6666666666666666
172,고창시,2024-05,31,23,0.7419354838709677
172,고창시,2024-06,30,23,0.7666666666666667
172,고창시,2024-07,31,13,0.41935483870967744
172,고창시,2024-08,31,24,0.7741935483870968
172,고창시,2024-09,30,24,0.8
172,고창시,2024-10,31,19,0.6129032258064516
172,고창시,2024-11,30,20,0.6666666666666666
172,고창시,2024-12,31,14,0.45161290322580644
184,제주시,2024-01,31,17,0.5483870967741935
184,제주시,2024-02,29,12,0.41379310344827586
184,제주시,2024-03,31,21,0.6774193548387096
184,제주시,2024-04,30,16,0.5333333333333333
184,제주시,2024-05,31,23,0.7419354838709677
184,제주시,2024-06,30,19,0.6333333333333333
184,제주시,2024-07,31,21,0.6774193548387096
184,제주시,2024-08,31,25,0.8064516129032258
184,제주시,2024-09,30,16,0.5333333333333333
184,제주시,2024-10,31,15,0.4838709677419355
184,제주시,2024-11,30,18,0.6
184,제주시,2024-12,31,22,0.7096774193548387
202,양평시,2024-01,31,7,0.22580645161290322
202,양평시,2024-02,29,16,0.5517241379310345
202,양평시,2024-03,31,19,0.6129032258064516
202,양평시,2024-04,30,24,0.8
202,양평시,2024-05,31,24,0.7741935483870968
202,양평시,2024-06,30,21,0.7
202,양평시,2024-07,31,10,0.3225806451612903
202,양평시,2024-08,31,21,0.6774193548387096
202,양평시,2024-09,30,20,0.6666666666666666
202,양평시,2024-10,31,23,0.7419354838709677
202,양평시,2024-11,30,23,0.7666666666666667
202,양평시,2024-12,31,10,0.3225806451612903
232,천안시,2024-01,31,9,0.2903225806451613
232,천안시,2024-02,29,15,0.5172413793103449
232,천안시,2024-03,31,18,0.5806451612903226
232,천안시,2024-04,30,24,0.8
232,천안시,2024-05,31,23,0.7419354838709677
232,천안시,2024-06,30,24,0.8
232,천안시,2024-07,31,11,0.3548387096774194
232,천안시,2024-08,31,23,0.7419354838709677
232,천안시,2024-09,30,20,0.6666666666666666
232,천안시,2024-10,31,20,0.6451612903225806
232,천안시,2024-11,30,21,0.7
232,천안시,2024-12,31,11,0.3548387096774194
238,금산시,2024-01,31,7,0.22580645161290322
238,금산시,2024-02,29,11,0.3793103448275862
238,금산시,2024-03,31,18,0.5806451612903226
238,금산시,2024-04,30,21,0.7
238,금산시,2024-05,31,22,0.7096774193548387
238,금산시,2024-06,30,25,0.8333333333333334
238,금산시,2024-07,31,14,0.45161290322580644
238,금산시,2024-08,31,23,0.7419354838709677
238,금산시,2024-09,30,22,0.7333333333333333
238,금산시,2024-10,31,19,0.6129032258064516
238,금산시,2024-11,30,20,0.6666666666666666
238,금산시,2024-12,31,13,0.41935483870967744
239,세종시,2024-01,31,9,0.2903225806451613
239,세종시,2024-02,29,13,0.4482758620689655
239,세종시,2024-03,31,22,0.7096774193548387
239,세종시,2024-04,30,23,0.7666666666666667
239,세종시,2024-05,31,22,0.7096774193548387
239,세종시,2024-06,30,24,0.8
239,세종시,2024-07,31,12,0.3870967741935484
239,세종시,2024-08,31,21,0.6774193548387096
239,세종시,2024-09,30,22,0.7333333333333333
239,세종시,2024-10,31,18,0.5806451612903226
239,세종시,2024-11,30,20,0.6666666666666666
239,세종시,2024-12,31,17,0.5483870967741935
247,남원시,2024-01,31,10,0.3225806451612903
247,남원시,2024-02,29,14,0.4827586206896552
247,남원시,2024-03,31,21,0.6774193548387096
247,남원시,2024-04,30,22,0.7333333333333333
247,남원시,2024-05,31,20,0.6451612903225806
247,남원시,2024-06,30,24,0.8
247,남원시,2024-07,31,13,0.41935483870967744
247,남원시,2024-08,31,22,0.7096774193548387
247,남원시,2024-09,30,24,0.8
247,남원시,2024-10,31,19,0.6129032258064516
247,남원시,2024-11,30,20,0.6666666666666666
247,남원시,2024-12,31,19,0.6129032258064516
253,김해시,2024-01,31,18,0.5806451612903226
253,김해시,2024-02,29,17,0.5862068965517241
253,김해시,2024-03,31,22,0.7096774193548387
253,김해시,2024-04,30,22,0.7333333333333333
253,김해시,2024-05,31,20,0.6451612903225806
253,김해시,2024-06,30,22,0.7333333333333333
253,김해시,2024-07,31,11,0.3548387096774194
253,김해시,2024-08,31,23,0.7419354838709677
253,김해시,2024-09,30,25,0.8333333333333334
253,김해시,2024-10,31,20,0.6451612903225806
253,김해시,2024-11,30,26,0.8666666666666667
253,김해시,2024-12,31,31,1.0
266,광양시,2024-01,31,18,0.5806451612903226
266,광양시,2024-02,29,13,0.4482758620689655
266,광양시,2024-03,31,22,0.7096774193548387
266,광양시,2024-04,30,22,0.7333333333333333
266,광양시,2024-05,31,20,0.6451612903225806
266,광양시,2024-06,30,24,0.8
266,광양시,2024-07,31,13,0.41935483870967744
266,광양시,2024-08,31,21,0.6774193548387096
266,광양시,2024-09,30,25,0.8333333333333334
266,광양시,2024-10,31,20,0.6451612903225806
266,광양시,2024-11,30,23,0.7666666666666667
266,광양시,2024-12,31,31,1.0
288,밀양시,2024-01,31,19,0.6129032258064516
288,밀양시,2024-02,29,17,0.5862068965517241
288,밀양시,2024-03,31,20,0.6451612903225806
288,밀양시,2024-04,30,22,0.7333333333333333
288,밀양시,2024-05,31,21,0.6774193548387096
288,밀양시,2024-06,30,24,0.8
288,밀양시,2024-07,31,16,0.5161290322580645
288,밀양시,2024-08,31,21,0.6774193548387096
288,밀양시,2024-09,30,25,0.8333333333333334
288,밀양시,2024-10,31,20,0.6451612903225806
288,밀양시,2024-11,30,26,0.8666666666666667
288,밀양시,2024-12,31,30,0.967741935483871
